ΕΠΑΡΧΙΑ,ΘΕΜΑ,ΕΠΙΠΕΔΟ,ΚΕΝΤΡΟΕΠΙΜΟΡΦΩΣΗΣ,ΩΡΑΔΙΕΞΑΓΩΓΗΣ,ΗΜΕΡΑΔΙΕΞΑΓΩΓΗΣ
ΑΜΜΟΧΩΣΤΟΣ,ΑΓΙΟΓΡΑΦΙΑ,Α+Β,ΑΙΘΟΥΣΑ ΕΚΚΛΗΣΙΑΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ ΠΑΡΑΛΙΜΝΙ,18.30-20.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΑΙΣΘΗΤΙΚΗ – ΜΑΓΙΚΙΑΖ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΕΡΥΝΕΙΑΣ Γ',18.00-19.30,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΒΑΣΙΚΕΣ ΔΕΞΙΟΤΗΤΕΣ ΠΛΗΡΟΦΟΡΙΚΗΣ,Α,"ΓΥΜΝΑΣΙΟ-ΛΥΚΕΙΟ ""ΕΙΡΗΝΗΣ ΚΑΙ ΕΛΕΥΘΕΡΙΑΣ"" ΔΕΡΥΝΕΙΑΣ-ΣΩΤΗΡΑΣ (ΕΞΑΤΑΞΙΟ)",18.30-20.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΒΑΣΙΚΕΣ ΔΕΞΙΟΤΗΤΕΣ ΠΛΗΡΟΦΟΡΙΚΗΣ,Β,"ΓΥΜΝΑΣΙΟ-ΛΥΚΕΙΟ ""ΕΙΡΗΝΗΣ ΚΑΙ ΕΛΕΥΘΕΡΙΑΣ"" ΔΕΡΥΝΕΙΑΣ-ΣΩΤΗΡΑΣ (ΕΞΑΤΑΞΙΟ)",17.00-18.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΑΓΓΛΙΚΗ,Α,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,18.30-20.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΑΓΓΛΙΚΗ,Β,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,17.00-18.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΑΓΓΛΙΚΗ,Γ,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,18.30-20.00,ΠΕΜΠΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΓΕΡΜΑΝΙΚΗ,Α,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,19.30-21.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΓΕΡΜΑΝΙΚΗ,Β,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,16.30-18.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΓΕΡΜΑΝΙΚΗ,Γ,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,18.00-19.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΕΛΛΗΝΙΚΗ,Α,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,19.00-20.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΕΛΛΗΝΙΚΗ,Β,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,17.30-19.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΙΣΠΑΝΙΚΗ,Α,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,16.30-18.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΙΣΠΑΝΙΚΗ,Β,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,18.00-19.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΙΤΑΛΙΚΗ,Α,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,19.30-21.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΙΤΑΛΙΚΗ,Β,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,18.00-19.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΙΤΑΛΙΚΗ,Γ,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,16.30-18.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΡΩΣΙΚΗ,Α,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,19.00-20.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΡΩΣΙΚΗ,Β,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,19.15-20.45,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΡΩΣΙΚΗ,Γ,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,19.15-20.45,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΤΟΥΡΚΙΚΗ,Α,ΛΥΚΕΙΟ ΚΟΚΚΙΝΟΧΩΡΙΩΝ ΦΩΤΗ ΠΙΤΤΑ,17.00-18.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΤΟΥΡΚΙΚΗ,Β,ΛΥΚΕΙΟ ΚΟΚΚΙΝΟΧΩΡΙΩΝ ΦΩΤΗ ΠΙΤΤΑ,18.30-20.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΤΟΥΡΚΙΚΗ,Γ,ΛΥΚΕΙΟ ΚΟΚΚΙΝΟΧΩΡΙΩΝ ΦΩΤΗ ΠΙΤΤΑ,18.30-20.00,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΦΡΕΝΑΡΟΥΣ,17.30-19.00,ΠΕΜΠΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΩΤΗΡΑΣ Γ΄ (ΕΝΙΑΙΟ ΟΛΟΗΜΕΡΟ),16.30-18.00,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΩΤΗΡΑΣ Γ΄ (ΕΝΙΑΙΟ ΟΛΟΗΜΕΡΟ),17.30-19.00,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΑΣΟΥΣ ΑΧΝΑΣ - ΦΩΤΗΣ ΠΙΤΤΑΣ,18.00-19.30,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΙΟΠΕΤΡΙΟΥ Β',17.30-19.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΙΟΠΕΤΡΙΟΥ Β',18.30-20.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΕΡΥΝΕΙΑΣ Γ',19.00-20.30,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,17.00-18.30,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,18.00-19.30,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,19.00-20.30,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ - ΒΡΥΣΟΥΛΩΝ - ΑΧΕΡΙΤΟΥ,19.00-20.30,ΠΕΜΠΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΥΓΟΡΟΥ Α',18.00-19.30,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΥΓΟΡΟΥ Α',19.00-20.30,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΥΓΟΡΟΥ Α',19.00-20.30,ΠΕΜΠΤΗ
